Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,49,,
55,144,0.10087829201128069,137
54,79,0.08468175749075313,58
53,31,0.058753238661996075,26
52,32,0.057424568862420394,25
51,114,,
50,82,1.2920705952926563,71
49,138,0.9229158049319419,127
48,154,0.54678395124149,139
47,196,0.8027260434682876,186
46,180,0.4304972435444726,151
45,55,0.5231280447444447,35
44,1213,0.34381146750121094,1207
43,145,0.32138722649716145,9
42,618,0.1922811143625972,616
41,62,0.704900095970001,3
40,2,0.24528253505623412,1
39,3,,
38,1,,
37,7,0.12924445452188554,5
36,28,,
35,2,,
34,13,0.17046081076450292,12
33,15,1.5122986049750484,14
32,13,0.8177101951521467,9
31,53,0.6090857632394296,23
30,7,0.1471470202868029,3
29,11,0.4322058426972889,9
28,4,,
27,13,,
26,6,,
25,65,,
24,2,,
23,3,,
19,1,,
16,1,,
