Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,48,,
55,150,0.03769072618309859,142
54,72,0.04800494771428571,56
53,38,0.03513744584193548,31
52,24,0.023764259035636368,22
51,120,0.02191576839599316,117
50,84,0.9650230017354737,76
49,138,0.3197084943488,132
48,147,0.1936665208853139,137
47,207,0.12510099815995077,195
46,172,0.052575022536757894,152
45,59,0.0586738556262,40
44,1195,0.061586295685199334,1194
43,159,0.067078854492,10
42,604,0.030002702650727697,603
41,76,0.06190974739999996,4
40,1,,
39,2,,
38,2,0.01186662276,1
37,4,0.0823809133,2
36,31,,
35,3,,
34,13,,
33,13,,
32,14,0.1053735907617778,9
31,52,0.12328811755272723,22
30,10,0.24368047588000008,5
29,9,,
28,4,,
27,12,,
26,6,1.6203443205248,5
25,64,0.4976127925407268,63
24,4,,
23,3,,
19,1,,
16,1,,
