Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,52,0.3964053109503615,51
55,147,0.10170224058050958,142
54,74,0.051191764324986316,58
53,34,0.06232745997827532,29
52,27,0.09473014807914819,23
51,111,0.05507674452823543,109
50,92,0.2556023561554474,76
49,131,0.07243205992090068,125
48,149,0.05401727397640489,132
47,198,0.04927824908104569,181
46,186,0.04520584621830793,152
45,55,0.04245421682089154,36
44,1230,0.03349525420769112,1225
43,129,0.04479821902372685,11
42,606,,
41,72,0.08052105062677879,3
40,1,,
39,4,0.05900500176618893,3
38,1,,
37,6,0.2615924001446421,4
36,29,,
35,3,,
34,12,,
33,14,0.10568126350261604,13
32,14,0.08545164414210148,9
31,55,0.06935089902122282,25
30,7,0.09435758651696895,5
29,8,,
28,5,0.12302860037890695,4
27,11,,
26,8,0.31313917745594294,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
