Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,50,,
55,144,0.0002133474129661379,138
54,78,0.002039473747811109,58
53,36,0.0006922829814972586,31
52,24,0.0049087928435673145,22
51,118,0.008461053827461706,115
50,84,22812.26541169125,74
49,132,3.9020331538875386,124
48,153,0.9302837130258503,135
47,213,1240.8187598282818,199
46,164,79.93966850945647,148
45,59,20.070689486607183,36
44,1217,39.282841519237856,1212
43,140,17.888265779450034,9
42,602,6.708788060040763,600
41,79,6.465851752532419,4
40,1,,
39,3,,
38,1,,
37,7,111.10098038061066,5
36,28,,
35,3,,
34,13,,
33,13,,
32,13,74.58943681172127,8
31,56,2.0351986644322406,25
30,7,3.128446987099123,5
29,9,,
28,4,,
27,13,,
26,5,,
25,62,68.71129757093888,61
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
