Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,53,,
55,149,0.4576041936147849,146
54,69,0.44539875392372247,57
53,38,0.4590817393645638,32
52,22,0.47339140986109857,21
51,118,0.44890776657297204,114
50,85,0.6027338140926785,74
49,131,0.3423310161005969,123
48,149,0.35632772640119575,130
47,211,0.36956867961178835,192
46,178,0.41434284849664116,155
45,55,0.3973061028373084,39
44,1207,0.39829117752363824,1205
43,149,0.416610963569554,11
42,604,,
41,74,0.637218625805988,3
40,1,,
39,4,0.4463430882164359,3
38,1,,
37,6,0.36711019075300877,4
36,29,,
35,2,,
34,11,0.48614030267978164,10
33,17,0.3635034836005717,14
32,13,0.3698648841812387,9
31,53,0.3497419271707587,23
30,9,0.3269672970258405,5
29,9,,
28,4,,
27,13,,
26,5,,
25,64,0.33065613480254236,63
24,4,,
23,2,,
22,1,,
19,1,,
16,1,,
