Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,47,,
55,146,0.060713158083734904,137
54,77,0.03419279441642321,56
53,37,0.03036878945021706,30
52,25,0.030880585036720472,22
51,119,0.0196019385779486,116
50,86,0.3919843064031098,77
49,132,0.06748360705918832,127
48,148,0.025509969621998002,133
47,210,0.027545075403345616,194
46,172,0.01198607571406878,151
45,55,0.018096004520089803,35
44,1227,0.012791156983195457,1221
43,133,0.01853363288957536,11
42,606,,
41,73,0.03246176685492287,4
40,1,,
39,3,,
38,1,,
37,7,0.010798722021199128,5
36,28,,
35,2,,
34,14,0.019704575228607708,13
33,13,,
32,15,0.01827514208748221,10
31,49,0.025430644985696266,20
30,12,0.04833767221159779,5
29,8,,
28,4,0.00533176430052217,3
27,12,0.046587490624584116,11
26,8,0.054930869819576976,6
25,55,,
24,12,,
23,3,,
19,1,,
16,1,,
