Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,52,,
55,147,0.0790068492922361,143
54,70,0.05954786826485821,55
53,36,0.07334349340878932,28
52,27,0.0960127861158551,22
51,116,0.04846877254013179,113
50,86,0.17033464111556776,74
49,131,0.08091805821314073,123
48,155,0.07173871436435862,136
47,206,0.07113474721089004,193
46,175,0.032001240375890395,153
45,51,0.059873297316411646,33
44,1212,0.03173523830378957,1204
43,150,0.031454842080770574,11
42,612,,
41,67,0.08993492597786412,4
40,1,,
39,3,,
38,1,,
37,7,0.28897199444840155,5
36,28,,
35,2,,
34,12,0.046510077091794624,11
33,16,0.07873185984042187,14
32,12,0.056545821735567894,8
31,57,0.059680577212665724,26
30,6,0.10579412318559911,5
29,9,,
28,3,,
27,13,0.15371186325989408,12
26,7,0.1565245583049109,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
