Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,49,0.13654089920833334,48
55,149,0.4982801510658413,141
54,74,0.4699213356666338,57
53,32,0.48544305731856363,26
52,29,0.4912091458295256,22
51,114,0.48219536613160735,111
50,88,0.655293854894253,74
49,139,0.36909994733759294,131
48,146,0.37781676925229785,135
47,213,0.3815175035368713,199
46,173,0.3964255390298921,157
45,50,0.38189723306415513,36
44,1214,0.36962218127275237,1209
43,145,0.35539333032064896,11
42,606,,
41,73,0.4250912485811199,4
40,1,,
39,3,,
38,1,,
37,4,0.18088501469218995,2
36,31,,
35,2,,
34,13,0.40475077424874567,12
33,17,0.440063568676037,16
32,10,0.31594773238056234,8
31,53,0.27306641572971846,22
30,8,0.32038492098524074,3
29,10,0.342323872575715,8
28,4,0.2924335678063216,3
27,14,0.245101718439188,13
26,4,,
25,62,0.2974027922001924,60
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
