Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,51,,
55,149,2.8457174888135087e-15,144
54,71,1.1613867762231454e-12,57
53,37,5.44451120836199e-09,31
52,25,6.113090061932169e-08,23
51,115,0.0011214670365805788,113
50,90,0.003579070130081637,78
49,129,0.006909673427888896,125
48,153,0.6201725935050063,136
47,202,0.8202965595973569,189
46,177,0.9508403782042172,151
45,56,0.8184626031182461,36
44,1215,0.5079103128572982,1210
43,143,0.5630645252264848,10
42,609,0.542992179084979,608
41,69,0.870259536187674,2
40,3,,
39.0,3.0,,
38.0,1.0,,
37,7,0.121659630319367,2
36.0,24.0,,
35,7,,
34,13,,
33,16,,
32,11,0.9923893705994671,1
31,55,0.5156174125520442,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
