Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,53,0.0050905526168076925,52
55,147,0.005463200582794551,143
54,74,0.004045656052858285,59
53,34,0.0030757461251763054,30
52,25,0.0021520863581856336,22
51,117,0.002152484519607524,114
50,85,0.07908908789160563,71
49,137,0.05943018217641781,103
48,149,0.04356536787726959,107
47,208,0.05822145763658671,127
46,188,0.029239102331569178,26
45,42,0.1462560121025,8
44,1344,,
43,12,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.027948536821318946,1
37,5,0.026944627021070363,3
36,30,,
35,3,,
34,12,,
33,15,0.12119378591473426,13
32,13,0.0719541937066774,8
31,52,0.03922592207470104,22
30,10,0.05228874765981823,5
29,8,0.1157609778,2
28,5,0.2582250470968912,2
27,13,0.15181123601092075,6
26,6,0.09444660255057308,5
25,63,0.15187772482344575,44
24,4,,
23,3,,
19,1,,
16,1,,
