Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,50,,
55,150,0.010618689696033128,144
54,66,0.006291378237155399,52
53,41,0.008695672793994694,30
52,24,0.01599545887354913,21
51,121,0.006131951282924975,117
50,79,0.027905646685650945,68
49,140,0.01972662112506717,103
48,154,0.010739344899753488,112
47,207,0.014334929141373933,131
46,184,0.00904649623362973,26
45,41,0.040052716766882324,7
44,1346,0.0612262058667688,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.013443029207701525,5
36,28,,
35,2,,
34,13,0.009172920809080087,12
33,15,0.029632747868681773,13
32,13,0.00502891611685869,8
31,55,0.016935910301024325,25
30,7,0.03791356816833219,5
29,7,0.025029391839297477,1
28,6,0.09012477443287355,2
27,12,0.08192509578976764,5
26,6,0.06317730783845978,4
25,61,0.06283079042509436,41
24,7,,
23,3,,
19,1,,
16,1,,
