Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,52,,
55,138,0.014003173921366066,134
54,82,0.007413059607197484,58
53,35,0.011117243071666873,30
52,27,0.01469646665206948,24
51,115,0.006880138980274349,114
50,82,0.03269535412795646,68
49,145,0.016815065671403978,108
48,147,0.011780831779371323,110
47,203,0.013958590813211609,125
46,190,0.008510684948321587,26
45,43,0.02680468552716431,9
44,1344,0.03977053546830833,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.00430608981192622,5
36,28,,
35,2,,
34,13,0.009297334463024139,12
33,16,0.019142161557376403,14
32,12,0.011614034053403598,8
31,53,0.018722768279044486,23
30,9,0.03178159489135405,5
29,9,0.06285661219815172,3
28,3,0.0830970895583672,1
27,14,0.06785808028528115,6
26,5,0.14281823047569647,4
25,63,0.06558416955491284,43
24,5,,
23,3,,
19,1,,
16,1,,
