Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,48,,
55,145,0.012118399969451136,137
54,75,0.006188440514758292,54
53,39,0.004712017405636728,30
52,26,0.007866580501768203,23
51,116,0.006268503707155492,114
50,85,0.02941110901570848,71
49,134,0.02026126457477628,100
48,155,0.013340611227462962,110
47,213,0.013056601210218644,135
46,181,0.009990522523992794,27
45,42,0.02831630862748133,9
44,1344,0.05672892079263356,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.000703558784495287,1
37,7,0.004597938235029988,5
36,28,,
35,3,,
34,13,,
33,16,0.018032742196464262,15
32,8,0.01263031475608281,5
31,59,0.013034426240110265,26
30,6,0.046008758591912224,5
29,9,0.009838578654407107,3
28,4,0.10547895723995944,2
27,11,0.08814284215136661,4
26,7,0.07358408702223651,4
25,63,0.06680935093896379,43
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
