Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,47,,
55,153,0.03840621014729167,144
54,68,0.06147361209124736,54
53,36,0.06316683687821611,27
52,28,0.06308823658499478,22
51,117,0.06269016258562157,114
50,88,0.06423010579270391,74
49,135,0.04931618854831393,104
48,148,0.042574922649017716,107
47,212,0.03550869678406892,131
46,186,0.04490703288584461,28
45,42,0.06512080818518336,10
44,1343,0.048957297327235555,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,7,0.042531356250939636,4
36,29,,
35,2,,
34,13,0.052269814069222556,12
33,16,0.028351832380983565,14
32,12,0.03498731830016222,8
31,54,0.03474472940158714,24
30,8,0.04655871718175564,5
29,7,0.03120584722598089,1
28,6,0.11706057887729432,2
27,11,0.0646161198184673,4
26,8,0.04672266151852755,5
25,61,0.06733755380520867,42
24,6,,
23,3,,
19,1,,
16,1,,
