Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,51,,
55,143,0.03847590635123188,138
54,76,0.06144877726275372,56
53,36,0.06258513352273173,29
52,26,0.06302195634938831,22
51,117,0.06254260876026758,114
50,83,0.06262120767441265,69
49,142,0.045904419601123035,106
48,150,0.04738117206575449,111
47,206,0.03750086877497797,129
46,187,0.04618494798421722,27
45,38,0.08657436942906163,5
44,1347,,
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.04433347296908027,5
36,28,,
35,2,,
34,14,0.05216517804927403,13
33,15,0.02839279607424553,14
32,13,0.03584841699602387,9
31,54,0.03406467059773068,25
30,5,0.05699477286708047,3
29,11,0.05522719677501097,3
28,3,0.15407001911020474,1
27,13,0.06561261255087075,5
26,7,0.07788590392199811,5
25,62,0.07103479006550253,43
24,5,,
23,3,,
19,1,,
16,1,,
