Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,51,,
55,142,0.023426477094121496,137
54,78,0.03304820646168057,57
53,35,0.013497211912792021,29
52,26,0.017855108641433727,22
51,108,0.014748280956060511,105
50,95,0.03349925491831254,72
49,141,0.032050575777521344,108
48,143,0.019758933924423416,106
47,217,0.022135827449436072,135
46,180,0.027254123525524768,26
45,42,0.013628407250651288,8
44,1345,0.07219037867069214,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.04998186108165123,5
36,28,,
35,3,,
34,12,,
33,15,0.02462644730355699,13
32,14,0.04179967734938291,9
31,54,0.014014397695824467,25
30,7,0.031110086898697483,5
29,9,0.024582646198985012,3
28,3,0.12760951865743805,1
27,13,0.11803470694501934,5
26,5,0.08355819764583676,3
25,65,0.07274732458873825,44
24,4,,
23,3,,
19,1,,
16,1,,
