Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,52,,
55,143,0.03844302569618705,139
54,72,0.06125959943939609,53
53,42,0.06229417858399101,32
52,24,0.06219512727293154,23
51,111,0.06237947442680937,109
50,88,0.061171595735120814,69
49,145,0.051221123785231436,109
48,142,0.04768326649445347,106
47,216,0.04696136770866039,134
46,182,0.04852803414148411,27
45,41,0.05064896132488547,8
44,1345,0.0703941741525376,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.03779043556751688,1
37,7,0.04741332331157277,5
36,28,,
35,3,,
34,12,,
33,13,0.030374517199755778,11
32,15,0.04158936618178875,8
31,55,0.0441222761140967,25
30,7,0.052668333866397445,5
29,9,0.03618860864680551,3
28,4,0.08104990508210079,2
27,11,0.05356373306034565,4
26,8,0.0330788952412532,5
25,61,0.0692811064090493,42
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
