Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,49,0.0038517080862710876,48
55,150,0.00703830338875455,142
54,75,0.15840791188370063,59
53,33,0.051712203697028634,29
52,26,0.639463584574741,22
51,113,0.6101813236038565,110
50,89,7.201168449765839,71
49,140,4740142988.162452,106
48,150,7113264772.033287,111
47,207,22822139236.61794,130
46,185,23006188447.106712,26
45,42,14954025157.815832,8
44,1345,23926454298.19027,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,719.4527058253329,4
36,29,,
35,3,,
34,11,,
33,16,12452.835400374417,13
32,13,9911.174056905642,8
31,55,14355863568.545748,25
30,7,14355872859.616617,5
29,9,15950958506.732529,3
28,4,5981603540.153892,2
27,12,9570576003.247444,5
26,7,14355814915.482801,5
25,58,17944807724.82555,39
24,9,,
23,3,,
19,1,,
16,1,,
