Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,51,,
55,145,0.014030592671142858,140
54,74,0.057430865120126975,56
53,38,0.05912196900258116,31
52,24,0.05854473101427455,22
51,117,0.05932713986853338,114
50,81,0.06296577588124475,67
49,142,0.048761383425822764,104
48,145,0.04462649821664163,104
47,222,0.03974500304176374,138
46,180,0.04633919868007825,29
45,39,0.05067568388096188,8
44,1345,0.08708644298082355,1
43,11,,
42,675,,
41,4,,
40,1,,
39,1,,
38,3,0.018241000832969624,1
37,6,0.0421223779757382,4
36,29,,
35,3,,
34,11,,
33,14,0.03416715191489573,11
32,16,0.043696119115779856,9
31,54,0.04553006115761351,25
30,6,0.03883059959927133,4
29,10,0.04238378980902355,3
28,4,0.08253373465823699,2
27,13,0.0978088390466572,6
26,5,0.06453684078773979,4
25,61,0.07424848728049457,41
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
