Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,55,0.05054335814583931,54
55,144,0.015882451998177366,142
54,72,0.022964904453078732,56
53,35,0.021356874133405934,28
52,26,0.025798483441278337,21
51,116,0.01333114950323392,112
50,90,0.03060519357315678,74
49,131,0.04231641632041464,100
48,149,0.02577559001277828,104
47,220,0.027234272634008544,136
46,178,0.01385048267107606,25
45,43,0.07343827598662228,8
44,1345,0.03541874652630886,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.05995603707484016,5
36,28,,
35,3,,
34,7,,
33,21,0.02674569821282534,14
32,13,0.017672644324647643,9
31,54,0.01753123741060183,25
30,6,0.02556890504946645,4
29,10,0.022767428930646764,3
28,4,0.13746554431092012,2
27,12,0.08282656153574988,5
26,6,0.11007616476740077,4
25,64,0.08438309226369595,44
24,4,,
23,3,,
19,1,,
16,1,,
