Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,47,0.005623818206739131,46
55,153,0.03841088721573426,143
54,72,0.060764522225535654,57
53,35,0.06154279115618612,29
52,24,0.0619722179678989,20
51,118,0.06198422121070423,113
50,87,0.06490131744237794,72
49,138,0.04334038899893159,105
48,150,0.04099482864980417,110
47,208,0.037990414278221384,130
46,186,0.048366216308745276,27
45,43,0.05388876375896492,10
44,1343,0.08224104020720954,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,0.04246452354322331,5
36,28,,
35,3,,
34,11,,
33,16,0.029528331803442984,13
32,14,0.037968937006597175,9
31,52,0.03497123623464605,23
30,8,0.08012165683324597,4
29,10,0.040399609332829156,3
28,3,0.041644030015372785,1
27,14,0.09666503523432325,6
26,4,0.051184389289632946,3
25,64,0.0758021893512468,43
24,5,,
23,3,,
19,1,,
16,1,,
