Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,49,,
55,149,0.002241756248661972,142
54,74,0.0016241189355172413,58
53,34,0.0006166017986206898,29
52,24,0.00036481200449999993,20
51,116,0.0006379955186486486,111
50,90,0.026496937080136986,73
49,138,0.019682460038773587,106
48,138,0.011505028394444446,99
47,223,0.01846808288044776,134
46,181,0.006089360533076925,26
45,43,0.0536244245111111,9
44,1344,0.07982222,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.0001134259999999998,1
37,7,0.003413554519999999,5
36,28,,
35,3,,
34,12,,
33,16,0.01997079858571428,14
32,12,0.005657661311249995,8
31,55,0.014006596736399998,25
30,5,0.00928747960000001,3
29,10,0.00657640980000001,2
28,4,0.09006345999999998,1
27,13,0.05456786424,5
26,7,0.03673640720000001,5
25,65,0.07595691771739131,46
24,2,,
23,3,,
19,1,,
16,1,,
