Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,52,0.004838721765150016,50
55,146,0.0030774070124759173,140
54,74,0.0018762248136431502,56
53,34,0.00220325850213514,27
52,28,0.0013318397723488973,22
51,116,0.00106935661459511,113
50,87,0.03197414627705828,72
49,139,0.018748381092346098,106
48,144,0.011089496920117415,105
47,213,0.012977992748950996,130
46,186,0.008550955774082597,27
45,41,0.04014454393554635,8
44,1345,0.052146779019900946,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.004270422428576703,1
37,6,0.004869849519128503,4
36,29,,
35,3,,
34,12,,
33,14,0.010740282202298772,12
32,14,0.005557323890881115,8
31,57,0.013439404062698005,27
30,5,,
29,9,0.03551857665402664,3
28,4,0.10437966984929738,2
27,11,0.10005349202424156,4
26,8,0.10117025683001316,5
25,65,0.07252126904064994,46
24,2,,
23,3,,
19,1,,
16,1,,
