Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,52,,
55,147,0.038533808916363634,143
54,72,0.06200760797571321,57
53,32,0.06267328257952708,26
52,27,0.06268622855957902,20
51,109,0.06251346019393414,104
50,93,0.06408680629962182,69
49,140,0.04804698110689566,104
48,153,0.046784175525669484,112
47,212,0.03625937194658876,136
46,179,0.045409978234932154,26
45,42,0.06630075910861456,8
44,1345,0.05052077131219637,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.04538740385052624,1
37,7,0.04422488244118355,5
36,28,,
35,3,,
34,13,,
33,16,0.029261947958964217,15
32,11,0.03455638071282471,8
31,54,0.03534016350919898,24
30,8,0.0462924555473757,5
29,8,0.06813462148887511,2
28,4,0.1559056649540299,1
27,12,0.06129699828997283,4
26,8,0.0672798861253563,5
25,62,0.06559167506779044,43
24,5,,
23,3,,
19,1,,
16,1,,
