Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,50,,
55,143,0.002438390023430657,137
54,74,0.0014918369379245283,53
53,39,0.001030779093448276,29
52,25,0.0006997723138095238,21
51,118,0.0005451716494736841,114
50,88,0.026812255267702704,74
49,136,0.03786307812657143,105
48,147,0.010743595757850468,107
47,212,0.02201126988091603,131
46,184,0.0038287756653846154,26
45,42,0.030399530823749993,8
44,1345,0.07787618000000002,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.0006817340499999998,4
36,29,,
35,3,,
34,13,,
33,14,0.037124587261538465,13
32,13,0.017046741790000007,8
31,55,0.005995871352000002,25
30,7,0.003552330960000003,5
29,9,0.005207575899999996,3
28,4,0.054429734999999965,2
27,12,0.034465236699999985,5
26,7,0.04978753820000001,5
25,62,0.06998772851395349,43
24,5,,
23,3,,
19,1,,
16,1,,
