Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,54,0.005330764931252444,53
55,141,0.009829616270993729,138
54,78,0.0318594291912613,58
53,34,0.004579479474829604,29
52,23,0.00694803619538999,19
51,120,0.006675320500471073,114
50,82,0.024327356101787396,68
49,140,11382180.405638805,103
48,147,17371026.030353457,105
47,216,54473151.107814156,133
46,183,10672653.640043607,27
45,43,14350477.460969558,10
44,1343,17883.08901839954,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,4705.647025881741,4
36,29,,
35,3,,
34,11,,
33,15,4199.302097331574,12
32,15,6409335.774755579,9
31,55,27715015.61180314,26
30,6,23057583.184446327,5
29,9,19225750.1368798,3
28,4,27533.661283178975,2
27,13,15743.746310304077,6
26,6,29417.682430400255,5
25,61,37965.499754214165,42
24,6,,
23,3,,
19,1,,
16,1,,
