Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,55,0.005178686172407407,54
55,144,0.0019929112749999998,142
54,72,0.0009951823335714286,56
53,38,0.0006820334903225806,31
52,24,0.00045236641318181824,22
51,118,0.0005703831629565218,115
50,84,0.04221044324450704,71
49,136,0.022403325788333334,102
48,149,0.009183567045566039,106
47,211,0.016500786120232556,129
46,184,0.003413996015833333,24
45,43,0.00925078117571429,7
44,1346,0.03433112000000002,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.00045554461999999996,5
36,28,,
35,3,,
34,11,,
33,15,0.022541114075,12
32,15,0.004522670191111111,9
31,56,0.010385398764814814,27
30,4,,
29,10,0.005805163366666673,3
28,3,0.21624328,1
27,14,0.061269601983333324,6
26,4,0.07069782366666667,3
25,63,0.06876906334761905,42
24,6,,
23,3,,
19,1,,
16,1,,
