Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,50,,
55,143,0.03852894190788321,137
54,82,0.060341445813381536,61
53,30,0.06131254002468066,28
52,29,0.06159532939300612,24
51,111,0.06161376373947134,110
50,85,0.06333321109504446,67
49,141,0.03863715134037901,103
48,151,0.04191086492606566,109
47,218,0.04108625088866521,139
46,177,0.04615612580110806,27
45,43,0.055882078504654965,10
44,1343,0.07789840921229543,1
43,11,,
42,675,,
41,4,,
39,3,0.04931904779551155,2
38,1,,
37,8,0.04202704719568879,5
36,28,,
35,2,,
34,9,0.051930493964418636,8
33,19,0.027766700954521214,13
32,14,0.03604095638754316,9
31,55,0.03364177156343898,26
30,5,0.057225571828339275,4
29,10,0.0409525920399725,3
28,4,0.10465856141025509,2
27,13,0.09176623891189936,6
26,5,0.062492819278572115,4
25,61,0.06739291604482914,41
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
