Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,49,,
55,142,0.01349664440298478,135
54,79,0.031211876470506047,56
53,38,0.00585438212085739,31
52,22,0.014269503367704852,20
51,118,0.021150712054496455,113
50,85,0.03209494034534009,70
49,142,13527756.371744642,107
48,142,18346429.282946683,104
47,214,57949408.96296755,130
46,185,0.7847958864250365,26
45,44,0.25627395838568795,10
44,1343,0.19182687198390289,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.25394646668774196,5
36,28,,
35,3,,
34,12,,
33,17,0.9310327304023903,15
32,12,0.271918080037567,9
31,55,0.4044915628402643,26
30,6,0.35623655134693,5
29,9,0.45707012208597825,3
28,3,0.2914229956203849,1
27,14,0.3113983317955302,6
26,4,0.3959867390836994,3
25,66,0.32600924186323804,45
24,3,,
23,3,,
19,1,,
16,1,,
