Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,49,,
55,148,0.005542420203858158,141
54,77,0.004009637312388088,60
53,30,0.003311195291413402,27
52,28,0.002178842692759513,22
51,114,0.0022761675298540495,111
50,92,0.07897544119170108,75
49,129,0.062496192935138625,99
48,150,0.04474091627987863,104
47,215,0.058568015601563515,131
46,185,0.029122860459157445,27
45,42,0.13329101473446234,9
44,1344,0.21667334454014842,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.028250516759855668,4
36,29,,
35,2,,
34,14,0.025344742170099417,13
33,14,0.08250420509739669,13
32,14,0.0675472106578534,9
31,54,0.036647558089263434,25
30,7,0.0527053625608223,5
29,9,0.08577091434817846,3
28,2,,
27,15,0.15163254569457987,6
26,6,0.09391145852538159,5
25,63,0.15693815338940253,44
24,4,,
23,3,,
19,1,,
16,1,,
