Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,47,,
55,154,0.003155496601755848,145
54,69,0.0018669239392099179,56
53,35,0.0015453218389700665,28
52,27,0.001304834121743505,22
51,112,0.0011463685805622238,109
50,93,0.031217478318400486,74
49,131,0.016196820923801182,100
48,151,0.009743374363619977,106
47,218,0.012625298135831855,136
46,181,0.009277588476816973,28
45,42,0.03825679401971181,10
44,1343,0.05126341219201494,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.005961814713186816,5
36,28,,
35,3,,
34,13,,
33,15,0.007969465634408045,14
32,7,0.005044248659501067,3
31,60,0.012835622339505276,25
30,6,0.028735448827454112,4
29,10,0.03543282987447709,3
28,3,0.11060055501928909,1
27,13,0.07473589452211025,5
26,7,0.10195568262962282,5
25,61,0.07299841293306877,42
24,6,,
23,3,,
19,1,,
16,1,,
