Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,51,,
55,140,0.02453595345512091,135
54,82,0.06306087854674829,59
53,32,0.02464336268086319,28
52,24,0.031073207920438297,19
51,114,0.018412343633194123,108
50,95,0.03204647004695018,75
49,135,0.035438632360799596,105
48,152,0.01796942393859077,112
47,203,0.02194950804069945,127
46,188,0.021708850510310223,26
45,42,0.037839366367315004,8
44,1345,0.046717463786256325,1
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.057564001832478194,5
36,28,,
35,3,,
34,13,,
33,14,0.033285448961963365,13
32,13,0.04624154111086544,8
31,55,0.014458636286407308,25
30,7,0.02206228096015248,5
29,9,0.033054643717699096,3
28,4,0.08282151365171593,2
27,12,0.07236680485754594,5
26,7,0.05928284134979793,5
25,63,0.06710134417312137,44
24,4,,
23,3,,
19,1,,
16,1,,
