Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,54,,
55,139,0.0031090871644817515,137
54,76,0.0022914548781090907,55
53,39,0.0008214148401161292,31
52,27,0.001202244766096,25
51,114,,
50,82,0.06233052406313294,68
49,143,0.02604657470998264,106
48,149,0.017822713896210908,110
47,206,0.01910183939671875,128
46,184,0.004949076974249043,23
45,46,0.06667379841497813,9
44,1344,0.08848080068,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.00029684502400000035,1
37,7,0.0010919246894368717,5
36,28,,
35,3,,
34,11,,
33,18,0.032514334563491364,15
32,10,0.024350248643420152,7
31,53,0.00905795749151993,22
30,9,0.0175184617074843,4
29,10,0.005108630038666674,3
28,4,0.10374667220000001,2
27,12,0.07159431306630398,5
26,7,0.04459103345908093,5
25,62,0.07516821973649233,43
24,5,,
23,3,,
19,1,,
16,1,,
