Iteration,SampleCount,P_HILL_SPHERE,P_HILL_SPHERE_Weight
56,52,0.0048103810283677976,51
55,146,0.0030319690988425303,141
54,74,0.001838207345852424,57
53,39,0.0020268136925868114,33
52,22,,
51,117,0.0011415890723996045,114
50,88,0.032196363628336395,74
49,136,0.0179121264193539,105
48,144,0.010355782624738763,104
47,211,0.012698910697557922,127
46,190,0.009000058718289522,28
45,39,0.0507580386703715,7
44,1346,0.04828045197330838,1
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.006511795488763121,1
37,6,0.0031113574806361155,4
36,29,,
35,3,,
34,13,,
33,14,0.010897271464891306,13
32,13,0.0061818517821101366,8
31,52,0.014572858135576515,22
30,10,0.02281831343378678,5
29,8,0.050307802493560975,2
28,5,0.10194844609365113,2
27,11,0.09269225654545044,4
26,8,0.10698983407392539,5
25,61,0.07619910823066096,42
24,6,,
23,3,,
19,1,,
16,1,,
