Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,52,,
55,148,7.033127956092905e-07,144
54,77,1.241266287964492e-06,63
53,29,,
52,27,3.551472361706701e-06,23
51,118,0.0004284148712170468,116
50,86,0.21370637425789168,77
49,129,0.001991822098643187,124
48,157,0.015422708514101212,139
47,200,0.009109771905437146,190
46,179,0.012659089616493814,154
45,54,0.01844164203560709,37
44,1197,0.01807889067623433,1193
43,161,0.022899221225100866,11
42,604,,
41,75,0.010533746078590756,4
40,1,,
39,3,,
38,1,,
37,7,0.016101233416857874,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.027508049945894064,2
31,56,0.01743475033457414,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
