Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,50,,
55,148,0.02879925119946012,142
54,74,0.018307716760102732,58
53,36,0.010972013123651876,31
52,23,0.0183255116074371,21
51,116,0.016022329543753863,112
50,83,0.019660086110585537,70
49,137,0.013610487768056045,125
48,148,0.010911004476165245,131
47,208,0.007545802613219918,190
46,179,0.006675851978866724,154
45,55,0.00737889320765986,38
44,1209,0.00465284624891549,1206
43,146,0.004479276487433422,9
42,627,0.004659208387160227,625
41,53,0.005289543841785409,3
40,2,,
39,3,,
38,1,,
37,7,0.0017491693077216208,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.008710997741375404,2
31,51,0.0033058807222725952,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
