Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,54,0.3446671618064766,53
55,140,0.01079321918090343,137
54,79,0.00659347455240325,58
53,32,0.0035533909363071716,27
52,27,0.010146974731194245,21
51,120,0.017377800324459368,116
50,83,647860.8325478779,74
49,137,0.6954879361792493,129
48,149,0.19778950235963727,136
47,203,0.01876397525006056,190
46,181,0.14660272397838053,156
45,53,0.04499425348298244,38
44,1205,0.3570711853404687,1202
43,152,0.4694084852582436,11
42,614,,
41,64,0.3651390232019284,3
40,2,,
39,3,,
38,1,,
37,6,0.06242691317303062,1
36,23,0.4662933043116075,22
35,9,,
34,13,,
33,16,,
32,12,0.47804498231640324,2
31,56,0.2899727604274315,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
