Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,53,,
55,145,0.12688346384023733,142
54,72,0.1026829105396545,56
53,37,0.14193847878796972,30
52,26,0.06337323728542393,23
51,109,0.07421314292644525,107
50,94,0.17342865778752795,76
49,129,0.11576203022012453,123
48,152,0.1004339402137486,133
47,203,0.10318659987247708,187
46,186,0.07984297172351625,158
45,52,0.10586455981986857,39
44,1221,0.05201994546947417,1219
43,132,0.08438887424241055,8
42,609,0.03952628721435,606
41,72,0.18156150325441223,3
40,2,,
39,3,,
38,1,,
37,6,0.033046710609148766,1
36,27,0.058789051256627596,26
35,5,,
34,13,,
33,16,,
32,12,0.06982757579381926,2
31,53,0.027037764116932882,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
