Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
58,65,1.3216785088257348,64
57,173,1.246622836183378,166
56,80,1.1036868834395903,67
55,61,1.0780592624056093,47
54,32,1.0736282036444735,28
53,136,1.483072939037941,133
52,150,975784.0087101803,131
51,212,1.986219907410501,198
50,200,1.572779012337272,181
49,263,2.544719943094454,242
48,193,0.7706395898997819,169
47,65,1.0670965988858947,47
46,1238,0.9624739250711479,1236
45,151,0.6966675340553654,12
44,606,,
43,74,1.4750656558205522,3
42,2,,
41.0,3.0,,
40.0,1.0,,
39,10,1.0234147375928213,2
38.0,27.0,,
37,8,,
36,17,,
35,22,,
34,14,1.520669303263669,2
33,59,0.9025531203145982,26
32,10,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
