Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,52,0.3655146364725858,51
55,147,0.18431665242648437,142
54,73,0.1686330534189747,57
53,38,0.1753454495485597,32
52,24,0.19034360974509176,23
51,116,0.13714568355937015,114
50,81,0.17824136390933443,70
49,140,0.1540672668773658,128
48,148,0.15059082761940318,134
47,204,0.1524931533448257,189
46,179,0.18080658554136403,153
45,51,0.19654225332215378,33
44,1219,0.13941692223088445,1211
43,141,0.13444401015812674,9
42,619,0.13597877013564896,617
41,61,0.27216161754059137,3
40,2,,
39,3,,
38,1,,
37,7,0.04308517112135857,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.2595555603139198,2
31,52,0.13506945245400742,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
