Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,46,,
55,152,0.07392289726901725,142
54,74,0.05138184510108402,58
53,33,0.039851728251661556,28
52,29,0.059748991203591104,24
51,120,0.03315209391236208,119
50,75,0.06936301639012195,69
49,144,0.04743601309888339,131
48,146,0.047456339936320015,135
47,206,0.03877416714545524,192
46,179,0.01611217363672661,156
45,52,0.03453766947593864,37
44,1224,0.02448049597617986,1220
43,131,0.02301333073069409,8
42,601,0.013029825772702903,598
41,79,0.18490438126582953,2
40,3,,
39,3,,
38,1,,
37,7,0.017536025747618145,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.018294012671081994,2
31,52,0.010534897166421088,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
