Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,52,,
55,147,1.1718702039057147e-06,143
54,73,3.1965658520647673e-06,58
53,35,9.520565201334708e-06,30
52,24,3.639332767598255e-06,21
51,115,0.00020122557223400988,111
50,87,1.3205663136922048e-05,73
49,138,0.005407910422608749,129
48,151,0.26670127672509775,138
47,199,0.49613350879483403,188
46,180,0.5856080271858569,153
45,54,0.5117747141791393,36
44,1215,0.32729521553473784,1210
43,143,0.36166291599306083,10
42,605,0.337972019301115,604
41,75,0.5096771961593097,4
40,1,,
39,3,,
38,1,,
37,7,0.02981035935876042,2
36,27,,
35,4,,
34,13,,
33,16,,
32,11,0.5765668058665772,1
31,56,0.3377628806381602,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
