Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,51,,
55,146,0.1127511091178782,141
54,76,0.07877217984049632,59
53,35,0.09674782857864468,31
52,24,0.08671583051731545,22
51,120,0.12495201511763375,117
50,79,0.14835255044632312,71
49,142,0.11122904895629686,131
48,143,0.1748783009803964,132
47,210,0.06155416674285017,193
46,172,0.07229833592400184,150
45,60,0.07270556163373354,39
44,1208,0.060268503812307424,1206
43,148,0.068354461715958,11
42,605,,
41,74,0.30304854648967566,4
40,1,,
39,3,,
38,1,,
37,7,0.09026321699333184,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.03196119852636348,2
31,53,0.027867140177398338,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
