Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,47,,
55,154,2.2523395745103723,145
54,63,6.653709151490216,50
53,44,2.8442436134632185,31
52,24,3.4858975302467785,22
51,116,6.017073637327006,113
50,93,39.81651596362973,23
49,143,13.369701039875126,3
48,147,86.56162348937828,12
47,217,,
46,171,950978223.0558506,1
45,41,,
44,1343,,
43,11,,
42,675,,
41.0,4.0,,
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,,
36.0,27.0,,
35,4,,
34,13,2009327496.1999726,4
33,16,3016269367.213185,1
32,12,2335311604.8010645,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
