Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,52,0.2842787186052306,51
55,144,0.024793931742165844,139
54,69,0.017694305234391,50
53,44,0.011381814257880794,31
52,24,0.01698574048519284,22
51,120,0.014849902903219773,117
50,80,0.016457690755824008,72
49,142,0.01191942043582103,132
48,138,0.009821795694605392,128
47,211,0.007201096739948858,190
46,177,0.005951503325750378,152
45,57,0.006527875244295231,38
44,1221,0.004506326796443615,1218
43,135,0.004143652633970532,10
42,615,0.004409620300220451,614
41,63,0.004026491391322606,2
40,3,,
39,3,,
38,1,,
37,7,0.0024592911410397655,2
36,24,,
35,7,,
34,13,,
33,16,,
32,11,0.002792790905515208,1
31,54,0.0029137784487068084,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
