Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,51,0.3242865095679414,50
55,146,0.12400615035510185,140
54,73,0.13013759634114522,55
53,36,0.11028410108274324,28
52,27,0.13220902691280184,22
51,119,0.17645552057633795,116
50,86,0.11805884372314429,77
49,132,0.1062317236075465,127
48,157,0.09983452803244713,142
47,197,0.0884492697359466,190
46,178,0.0539745488814544,153
45,56,0.09458645362525342,38
44,1213,0.06588556847519449,1210
43,144,0.056161963260002466,11
42,599,,
41,80,0.12508887847707523,4
40,1,,
39,3,,
38,1,,
37,7,0.05399466014348381,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.03131683240624006,2
31,55,0.0218243862451661,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
