Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,55,,
55,145,0.06819684145833332,144
54,73,0.011652201864406773,59
53,35,0.02818995916129033,31
52,26,0.026664689749999998,24
51,114,0.020602510955752194,113
50,85,0.008147176301369867,73
49,139,0.012830614115384595,130
48,151,0.012360050561151078,139
47,198,0.005479620696808512,188
46,175,0.007355375641891892,148
45,59,0.003084511722222222,36
44,1208,0.0034390485951787167,1203
43,148,0.0004692812499999949,8
42,616,0.002001094812398036,613
41,64,0.003036100000000097,2
40,3,,
39,3,,
38,1,,
37,6,0.00040485999999984035,1
36,25,0.0003451041666666492,24
35,7,,
34,13,,
33,16,,
32,12,0.0,2
31,52,3.9216800000005936e-05,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
