Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
58,61,1.1784901538697548,60
57,174,1.1421411609077141,163
56,91,1.029649284034036,75
55,52,0.9028234262853538,46
54,33,0.9772082740800914,28
53,145,1.4706866169401729,142
52,143,884771.0155697359,133
51,206,1.8308602388701454,194
50,199,1.4358232873622272,176
49,262,2.3866895121186213,236
48,200,0.7507271367426788,170
47,63,1.0087154714502113,46
46,1243,0.876746395197451,1240
45,145,0.5649881198035532,10
44,605,0.847923929197787,603
43,77,1.2087240990625765,3
42,2,,
41.0,3.0,,
40.0,1.0,,
39,10,0.9309754084484468,2
38.0,31.0,,
37,4,,
36,17,,
35,22,,
34,14,1.3859332720252504,2
33,60,0.8094042358442767,27
32,9,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
