Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,56,0.4242332876363636,55
55,146,0.05307027027586207,145
54,72,0.020777452203389828,59
53,32,0.024739930607142895,28
52,28,0.036020070782608715,23
51,115,0.015359414690265487,113
50,87,0.016717864266666663,75
49,132,0.009970675976000007,125
48,152,0.018769006748148142,135
47,209,0.006236306046153841,195
46,173,0.007394944712418299,153
45,53,0.005166950571428567,35
44,1204,0.0035156113606009992,1198
43,155,0.0014991890000000062,10
42,616,0.0016976525203252057,615
41,63,0.0007283999999998514,3
40,2,,
39,3,,
38,1,,
37,7,0.0007852500000001816,2
36,24,,
35,7,,
34,13,,
33,16,,
32,11,0.0,1
31,53,0.00021142199999999,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
