Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,53,0.43175973763959474,51
55,152,0.12667342618604868,147
54,70,0.15086405588448012,59
53,35,0.1829818957823397,31
52,26,0.1963691414434361,24
51,115,0.10635064763886569,114
50,86,0.184572494654451,75
49,136,0.15606030813616886,129
48,150,0.1690770368195235,137
47,200,0.16488313855044132,188
46,174,0.15587470136583864,147
45,62,0.1390854456681111,38
44,1204,0.11053683478597444,1201
43,151,0.12532257646615566,9
42,610,0.0932174539788595,608
41,71,0.013317512608950033,4
40,1,,
39,3,,
38,1,,
37,7,0.044675708160684724,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.0867935192647441,2
31,55,0.0699413014433242,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
