Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,50,,
55,150,0.5310975998221806,144
54,73,0.14689134557706796,59
53,33,0.07825894831338215,29
52,26,0.10826096406189614,22
51,116,0.0772235350072301,113
50,86,0.16427094330308237,74
49,136,0.13624913748450124,128
48,145,0.0712018273571256,131
47,212,0.07624204460803181,194
46,180,0.06198869118731126,159
45,46,0.09013807157272222,34
44,1213,0.06908442612950005,1206
43,147,0.045215367396607434,10
42,608,0.04277999338266211,607
41,71,0.5368105310091549,3
40,2,,
39,3,,
38,1,,
37,7,0.06397478715396987,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.09711431671822135,2
31,52,0.031566600038566754,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
