Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,53,,
55,143,3.0557112800426245e-07,140
54,78,3.8529782396175735e-07,60
53,32,3.188709646391213e-07,29
52,27,5.828862727691212e-07,23
51,113,0.006510246178243068,111
50,89,0.468020635911332,75
49,139,0.4610479545585537,132
48,149,0.509970023481702,139
47,199,0.4693056760360033,189
46,180,0.5078878508609348,154
45,55,0.495082371451865,38
44,1199,0.3020836328850454,1196
43,157,0.2902082012645905,10
42,613,0.3100012418216697,612
41,67,0.41433923207413226,4
40,1,,
39,3,,
38,1,,
37,6,0.021231778136302504,1
36,24,0.4646039395180053,23
35,8,,
34,13,,
33,16,,
32,12,0.4338221241185738,2
31,54,0.31786186714355796,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
