Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,51,,
55,146,0.15136324177229046,141
54,77,0.14135222730209768,60
53,29,0.1538873328709586,26
52,28,0.15071711881569294,21
51,115,0.11377775511660718,111
50,83,0.1497125581537883,69
49,143,0.14112027791840187,130
48,149,0.13630098167714572,137
47,208,0.14246631975801138,196
46,174,0.1526663211913921,155
45,54,0.1785287228798558,38
44,1204,0.10974200780262758,1201
43,152,0.1278519275410787,10
42,614,0.11307509049811239,613
41,66,0.25758006797966293,4
40,1,,
39,3,,
38,1,,
37,7,0.06164605439797732,2
36,27,,
35,4,,
34,13,,
33,16,,
32,11,0.22103544583860635,1
31,53,0.11238245552948677,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
