Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,50,0.5309002079183673,49
55,149,0.38859680053700385,142
54,77,0.42837215770714765,61
53,32,0.45031561542701837,30
52,27,0.5298502772751293,24
51,112,0.38782909223258605,111
50,81,0.3834502990558845,67
49,146,0.4530645885646455,131
48,148,0.5113638871480406,137
47,209,0.46969226836895206,197
46,171,0.5258374575459693,153
45,53,0.47447706070002077,35
44,1216,0.30158235207628714,1210
43,143,0.29422614706266154,10
42,603,0.3137135854538942,602
41,77,0.477695019684229,4
40,1,,
39,3,,
38,1,,
37,6,0.042066689902859666,1
36,26,0.4650696789866201,25
35,6,,
34,13,,
33,16,,
32,12,0.5047012634650766,2
31,55,0.30491674325296725,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
