Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,50,,
55,149,0.027148728825752085,143
54,73,0.015319239249100905,58
53,35,0.010208792018641904,30
52,27,0.014193656679966917,24
51,112,0.014950682138019013,111
50,87,0.01860908924359808,73
49,142,0.012014076741593853,133
48,146,0.009494734268566353,137
47,200,0.007032743521444739,188
46,177,0.005727463582020682,150
45,55,0.006732734672981269,34
44,1216,0.004644413123022958,1209
43,144,0.00450520813331024,10
42,612,0.004326177028445418,611
41,68,0.004678419115733856,4
40,1,,
39,3,,
38,1,,
37,6,0.0015843833764812576,1
36,25,0.006890383995396686,24
35,7,,
34,13,,
33,16,,
32,12,0.007641346466763288,2
31,53,0.003074840437239601,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
