Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,49,,
55,148,0.15586950218781476,141
54,73,0.13766554438380263,56
53,34,0.1757773074202113,27
52,29,0.16975578377988376,23
51,108,0.11429982087817964,106
50,94,0.15709253284992228,75
49,138,0.15146698522740074,131
48,148,0.1354658096216683,137
47,201,0.14701835886194775,189
46,176,0.15706846185526221,150
45,60,0.18471994609340842,39
44,1224,0.11058836367500315,1222
43,132,0.12671743539787053,11
42,603,,
41,76,0.25702034858146916,4
40,1,,
39,3,,
38,1,,
37,7,0.05910978158059732,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.2669397692701527,2
31,53,0.11025253573071286,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
