Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,46,,
55,150,0.19030320099787063,140
54,71,0.19049671042325345,53
53,38,0.2026492197778061,28
52,29,0.24035457980412683,24
51,114,0.13926924288205908,113
50,85,0.19778701591428796,73
49,133,0.16737172997887506,124
48,156,0.1625054216544014,138
47,198,0.17977015209178496,187
46,189,0.16079867763927388,161
45,47,0.1641355184857484,37
44,1226,0.10967195104885664,1222
43,132,0.14285597439315967,11
42,601,,
41,78,0.05678196186218776,4
40,1,,
39,3,,
38,1,,
37,7,0.07940067040478993,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.08521802782393983,2
31,55,0.09740860296028872,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
