Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,52,,
55,148,0.14192976261725826,144
54,69,0.14389239732102388,55
53,37,0.1815613779561095,29
52,23,0.15104315075427374,19
51,121,0.12042524655540002,115
50,85,0.15449595373419292,75
49,134,0.1490207684154601,127
48,140,0.137029180996633,125
47,226,0.1447161602267372,202
46,161,0.15285362309860515,148
45,61,0.18211890245570717,38
44,1209,0.11224591083432524,1206
43,147,0.13473305451477988,10
42,615,0.11540640987252027,614
41,65,0.2551008984645784,4
40,1,,
39,3,,
38,1,,
37,7,0.06155286825312051,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.2680364868699284,2
31,54,0.10860394283227087,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
