Iteration,SampleCount,S_AGE,S_AGE_Weight
56,53,2.6331501803266275,47
55,141,1.7722608129040653,133
54,81,1.225025794800399,40
53,34,1.5582815756613058,17
52,27,1.2636257554507704,5
51,122,1.3845793193395624,29
50,81,1.3580038588454004,53
49,135,1.0949225152107434,87
48,160,1.7081008769224681,29
47,209,1.153552789990518,29
46,176,1.9379602998594498,8
45,42,1.6002817575901809,5
44,1214,0.7555595118875742,1105
43,140,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,0.8752862702161619,9
33,16,0.9319030301195581,4
32,12,0.8416487947021931,1
31,55,1.5941353617486351,4
30,6,0.9832181133826663,1
29,9,2.7130665316116653,1
28,4,,
27,13,,
26,6,0.07224725597311377,1
25,67,,
23,3,,
19,1,,
16,1,,
