Iteration,SampleCount,S_AGE,S_AGE_Weight
56,50,2.6212396246640735,45
55,149,1.4895033326962615,139
54,76,1.123329125526292,41
53,30,1.2231510922045548,14
52,29,0.9085249005902623,4
51,120,0.7949681891208695,26
50,84,0.9538455401779032,53
49,134,0.9632792303834864,86
48,156,1.534755573583212,24
47,215,0.9844841917522281,30
46,176,2.1434975928180635,9
45,39,1.258406550862269,3
44,1224,0.7254083980998577,1113
43,132,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,1.1997284556821397,9
33,15,0.642698326262494,3
32,13,1.6395148201400342,1
31,55,1.192572094697598,4
30,6,0.5575066867524363,1
29,9,1.669009705864193,1
28,4,,
27,13,,
26,6,0.12102003645141668,1
25,67,,
23,3,,
19,1,,
16,1,,
