Iteration,SampleCount,S_AGE,S_AGE_Weight
56,49,3.1089620277954118,43
55,154,2.712622438190445,142
54,72,17.584867467325555,40
53,33,8.407507212324068,16
52,27,1.4037122973799705,4
51,123,171.82289108870052,29
50,78,908957096.4546154,50
49,142,25283.392557821015,91
48,155,8432.854744198301,28
47,211,37405.12265975651,30
46,176,14283.632669937833,9
45,40,2044.0303133946195,4
44,1213,1954.1903551398955,1103
43,142,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,622.6014511453748,8
33,17,4004.0515113936517,4
32,11,,
31,56,5197.1522044579815,4
30,6,345.41600515262013,1
29,9,1336.1248405804429,1
28,4,,
27,13,,
26,6,663.8161404453615,1
25,67,,
23,3,,
19,1,,
16,1,,
