Iteration,SampleCount,S_AGE,S_AGE_Weight
56,47,2.530959749207154,42
55,158,1.5382352564007586,145
54,66,1.2011486863236696,37
53,37,1.5322566092146048,17
52,27,1.4966731353680915,5
51,122,1.070963705243143,29
50,72,0.9878374767833547,44
49,152,0.9911939506510358,95
48,151,1.68728875683738,28
47,214,1.0751319873352885,33
46,172,2.065798355355381,8
45,41,1.049614456301519,4
44,1214,0.7277495809650666,1104
43,141,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.48367224804374054,1
37,7,,
36,28,,
35,3,,
34,10,1.4220958701147761,6
33,18,0.5908852120172844,3
32,13,1.5954285713714493,1
31,55,1.5460643505576166,4
30,6,0.6843949475293916,1
29,9,1.47315858156032,1
28,4,,
27,13,,
26,6,3.7807355101506825,1
25,67,,
23,3,,
19,1,,
16,1,,
