Iteration,SampleCount,S_AGE,S_AGE_Weight
56,53,3.167158542772862,47
55,147,1.9477801235827439,139
54,75,1.5990081439228012,40
53,33,1.6950821569838672,16
52,27,0.6319537113431365,4
51,125,1.3876975007641124,31
50,77,1.4764041261428553,51
49,139,1.4081119855336421,89
48,154,1.763494776316301,25
47,213,1.4636636695482466,29
46,176,2.603335315773627,8
45,41,2.4116104086153025,4
44,1216,0.9383586924422611,1106
43,139,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,1.0032931822716762,7
33,18,0.9864365818748944,4
32,12,2.1178787316227483,1
31,55,0.6565421483773717,4
30,6,1.1563722607465277,1
29,9,4.904410762411993,1
28,4,,
27,13,,
26,6,0.9884089507925022,1
25,67,,
23,3,,
19,1,,
16,1,,
