Iteration,SampleCount,S_AGE,S_AGE_Weight
56,54,3.234037687050528,48
55,147,2.2029605274524005,140
54,71,24.00148147529485,37
53,34,16.05336843559412,14
52,30,5.271870021867752,5
51,118,245.6126240256095,25
50,81,400655757.3398968,49
49,143,158794.25050551802,91
48,152,41180419.49809596,25
47,214,2723315.0154495114,30
46,176,989710.961191003,9
45,41,349562.29649149865,5
44,1221,423666.2177602504,1112
43,133,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,1311131.5886822005,1
37,7,,
36,28,,
35,2,,
34,14,1449032.1020344563,9
33,16,2667324.0022622715,4
32,12,862343.241774215,1
31,54,2591490.9292132487,3
30,7,1293941.5482591474,1
29,9,1830622.840852657,1
28,4,,
27,13,,
26,6,1417764.13572056,1
25,67,,
23,3,,
19,1,,
16,1,,
